GE14145	供应链与我们的生活
GE15163	计算机会计学
GE17017	创新创业：战略思维与商业模式定位
ME04028	管理学
MOOC011	创业基础
MOOC030	“互联网+”时代的颠覆与创新
MOOC075	公益创业学
MOOC079	消费者行为学
MOOC081	市场营销学
MOOC083	内部创业基础
BS04005	有机化学实验B
CE04059	物理化学B
CE04061	有机化学B
CH04035	基础分析化学实验(2)
CH04037	基础物理化学实验(2)
CH04050	基础有机化学实验A
CH04051	基础物理化学实验A（1）
CH04053	基础分析化学实验A
CH04058	无机化学（2）
CH04059	有机化学（1）
CH04060	有机化学（2）
CH04061	分析化学（1）
CH04062	分析化学（2）
CH04063	物理化学（1）
CH04067	物理化学A(2)
CH04069	有机化学A（2）
CH04071	分析化学B
CH04073	化工原理（2）
CH04074	化工原理实验（1）
CH04076	基础无机化学实验（2）
CH04078	基础有机化学实验（2）
CH04084	基础分析化学实验（2）
CH05006	高分子化学
CH05018	化学工程基础实验
CH05042	化学工程基础
CH05049	金属腐蚀及防护理论
CH05054	化工设计
CH05056	化工分离工程
CH05057	化工设备机械基础
CH05058	化工过程分析与合成
CH05060	化工仪表与自动化
CH06005	电化学测量
CH06014	化工产品市场营销
CH06020	化学电源
CH06026	缓蚀剂与防锈技术
CH06033	生物化工基础
CH06038	现代表面工程与技术
CH06040	现代有机合成
CH06044	药物分析
CH06045	药物化学
CH06050	波谱分析*
CH06051	波谱分析实验*
CH06055	生物技术概论
CH06057	工业催化原理及应用
CH06058	计算化学
CH06062	化学前沿
CH06064	化工传递过程
CH06067	高分子化学
CH06069	高分子物理学
CH06075	环境工程概论
CH06081	材料研究方法
CH06097	中级有机化学
CH10013	化学专业实验（中级）
CH10015	毕业设计（论文）
CH10023	毕业设计（论文）
ES04008	基础化学实验（物化）
ES05003	物理化学A
GE03052	化学原理(2)
GE11026	日用化学品技术及安全
GE11027	化学与生命
GE11043	人文化学
GE14107	生活中的药学
GE14177	水科学
MOOC038	产业用化学助剂开发及创业
MOOC063	化学实验室安全科学
SC10003	科学研究训练（3）
SC10006	科学研究训练（6）
BS06048	生态学
ES05009	环境工程微生物
ES05011	大气污染控制工程
ES05012	水污染控制工程
ES06004	环境毒理学
ES06006	环境工程CAD
ES06009	环境生物学
ES06015	景观生态学
ES06044	环境化学
ES06049	环境地球化学
ES10006	环工原理课程设计
ES10010	毕业论文（设计）
